influencer_id,influencer_name,platform,tier,niche,followers,campaign,campaign_date,reach,impressions,engagement_rate,clicks,conversions,spend_usd,revenue_usd,ctr_pct,conv_rate_pct,cpa_usd,romi,roi_pct,cpm_usd,revenue_per_1k,roi_rank,recommendation
INF_004,Neha Bose,Instagram,Nano,Lifestyle,18000,Diwali Special,2025-11-04,9188,22875,7.66,232,13,469.77,382.08,2.53,5.6,36.14,0.81,-18.7,20.54,41.58,28,OPTIMIZE
INF_024,Tanisha Bhatt,TikTok,Micro,Food,175000,Summer Glow Launch,2025-11-20,92108,150177,7.36,2219,21,2013.37,1488.77,2.41,0.95,95.87,0.74,-26.1,13.41,16.16,29,DROP
INF_036,Amit Srivastava,LinkedIn,Macro,Marketing,340000,Summer Glow Launch,2025-10-22,82023,147527,3.29,1006,53,3872.04,2649.51,1.23,5.27,73.06,0.68,-31.6,26.25,32.3,30,DROP
INF_039,Luna Kapoor,TikTok,Micro,Skincare,148000,Monsoon Refresh,2025-10-11,55320,85322,12.2,548,28,1840.18,1061.85,0.99,5.11,65.72,0.58,-42.3,21.57,19.19,31,DROP
INF_018,Rahul Desai,YouTube,Micro,Food,96000,Summer Glow Launch,2025-12-14,20952,46570,4.37,884,16,1737.09,771.68,4.22,1.81,108.57,0.44,-55.6,37.3,36.83,32,DROP
INF_008,Divya Nair,Instagram,Nano,Beauty,12000,Festive Season Push,2026-01-07,5111,12201,8.46,127,4,272.25,115.8,2.48,3.15,68.06,0.43,-57.5,22.31,22.66,33,DROP
INF_006,Simran Gill,Instagram,Macro,Food,310000,Festive Season Push,2025-12-31,81826,191287,5.1,3175,20,3347.2,1295.85,3.88,0.63,167.36,0.39,-61.3,17.5,15.84,34,DROP
INF_001,Priya Sharma,Instagram,Macro,Beauty,820000,Diwali Special,2025-10-20,280755,730534,4.69,3224,19,4488.35,1722.19,1.15,0.59,236.23,0.38,-61.6,6.14,6.13,35,DROP
INF_035,Pradeep Kulkarni,LinkedIn,Micro,Business,64000,New Year New You,2026-01-24,13096,29232,4.56,504,13,1431.34,517.21,3.85,2.58,110.1,0.36,-63.9,48.96,39.49,36,DROP
INF_017,Nikhil Gupta,YouTube,Nano,Vlog,22000,Summer Glow Launch,2025-10-26,9249,14042,7.94,88,4,503.08,138.91,0.95,4.55,125.77,0.28,-72.4,35.83,15.02,37,DROP
INF_007,Meera Iyer,Instagram,Micro,Travel,58000,Festive Season Push,2025-11-27,18755,33827,8.65,247,9,1175.75,306.96,1.32,3.64,130.64,0.26,-73.9,34.76,16.37,38,DROP
INF_031,Ankit Sharma,Twitter/X,Micro,Marketing,45000,Monsoon Refresh,2026-01-24,8513,18535,2.92,101,3,1000.71,153.71,1.19,2.97,333.57,0.15,-84.6,53.99,18.06,39,DROP
INF_010,Sanya Verma,Instagram,Micro,Fashion,88000,Summer Glow Launch,2025-12-23,16843,33878,6.56,389,3,1430.39,130.6,2.31,0.77,476.8,0.09,-90.9,42.22,7.75,40,DROP
