influencer_id,influencer_name,platform,tier,niche,followers,campaign,campaign_date,reach,impressions,engagement_rate,clicks,conversions,spend_usd,revenue_usd
INF_023,Riya Chopra,TikTok,Mega,Comedy,2800000,Brand Awareness Q1,2025-12-10,1363662,3452181,4.96,58988,857,10355.75,86466.45
INF_024,Tanisha Bhatt,TikTok,Micro,Food,175000,Summer Glow Launch,2025-11-20,92108,150177,7.36,2219,21,2013.37,1488.77
INF_025,Prachi Dubey,TikTok,Nano,Beauty,31000,Brand Awareness Q1,2026-01-12,15827,33654,14.86,578,25,541.6,901.48
INF_026,Sneha Rawat,TikTok,Macro,Fitness,640000,Festive Season Push,2026-01-16,292039,516162,5.0,4940,273,3117.08,25845.48
INF_027,Nisha Pandey,TikTok,Micro,Dance,125000,Diwali Special,2026-01-01,50221,131799,12.03,978,27,1500.27,2004.16
INF_028,Kritika Sen,TikTok,Macro,Lifestyle,380000,Diwali Special,2025-10-30,88631,125812,9.19,1141,52,2804.25,2798.51
INF_029,Sameer Ahuja,Twitter/X,Macro,Finance,520000,Diwali Special,2026-01-21,205406,345017,2.2,7080,91,4002.68,4945.75
INF_030,Deepak Nair,Twitter/X,Micro,Tech,68000,Brand Awareness Q1,2025-12-26,35577,69610,2.85,927,43,1138.5,3162.82
INF_031,Ankit Sharma,Twitter/X,Micro,Marketing,45000,Monsoon Refresh,2026-01-24,8513,18535,2.92,101,3,1000.71,153.71
INF_032,Rajesh Verma,Twitter/X,Macro,Finance,310000,Festive Season Push,2026-01-20,124166,336022,1.95,3140,67,2899.82,3204.44
INF_033,Dr. Sunita Rao,LinkedIn,Micro,Career,82000,Monsoon Refresh,2025-11-11,38935,67190,4.41,1184,52,1571.54,2567.03
INF_034,Neeraj Sharma,LinkedIn,Macro,B2B SaaS,290000,Brand Awareness Q1,2026-01-10,122152,319364,2.47,2097,45,4088.71,4039.67
INF_035,Pradeep Kulkarni,LinkedIn,Micro,Business,64000,New Year New You,2026-01-24,13096,29232,4.56,504,13,1431.34,517.21
INF_036,Amit Srivastava,LinkedIn,Macro,Marketing,340000,Summer Glow Launch,2025-10-22,82023,147527,3.29,1006,53,3872.04,2649.51
INF_037,Isha Chauhan,Instagram,Micro,Wellness,78000,Festive Season Push,2026-01-10,31100,73178,7.06,614,20,1626.41,1404.0
INF_038,Gaurav Mehta,YouTube,Micro,Personal Finance,112000,Diwali Special,2025-10-16,21961,36325,9.37,378,34,1694.46,1737.96
INF_039,Luna Kapoor,TikTok,Micro,Skincare,148000,Monsoon Refresh,2025-10-11,55320,85322,12.2,548,28,1840.18,1061.85
INF_040,Harsh Bhatia,Twitter/X,Micro,StartupLife,38000,New Year New You,2025-11-21,19531,54128,2.91,719,28,729.83,1853.77
